Arts_and_Entertainment,Autos_and_Vehicles,Beauty_and_Fitness,Books_and_Literature,Business_and_Industrial,Computers_and_Electronics,Finance,Food_and_Drink,Games,Health,Hobbies_and_Leisure,Home_and_Garden,Internet_and_Telecom,Jobs_and_Education,Law_and_Government,News,Online_Communities,People_and_Society,Pets_and_Animals,Real_Estate,Reference,Science,Shopping,Sports,Travel
45,52,79,25,52,21,51,79,39,60,48,59,66,38,44,38,31,24,42,55,41,31,47,56,40
43,48,74,28,51,21,48,74,41,60,44,54,62,40,43,42,30,24,45,49,44,37,44,75,36
44,45,76,29,46,20,50,74,40,58,47,52,60,37,39,39,28,22,44,45,42,35,48,75,33
43,44,72,25,45,21,47,78,47,59,50,52,58,37,38,37,39,23,41,44,41,32,52,79,32
44,44,76,25,47,21,40,81,43,61,53,54,58,38,32,36,31,23,41,42,37,30,57,75,34
48,47,80,28,49,22,53,77,46,63,47,56,60,38,41,41,32,25,46,48,41,33,46,76,38
45,47,75,30,52,22,58,77,43,63,45,57,58,38,38,39,31,24,48,50,45,37,44,63,36
43,47,70,26,52,22,56,74,42,63,43,55,62,37,37,38,33,23,45,48,43,37,44,63,38
42,49,72,26,49,19,52,80,40,59,44,57,62,35,35,38,30,21,43,48,42,35,45,66,37
41,49,71,25,49,20,46,73,40,58,46,57,63,34,35,37,28,21,40,47,39,31,44,61,38
43,50,72,21,50,20,46,83,39,57,44,55,64,34,31,37,30,21,41,50,37,29,44,54,42
44,52,72,20,47,20,48,78,41,58,49,57,66,35,30,37,29,22,40,51,36,27,44,54,43
43,50,70,23,52,21,50,73,43,60,45,54,61,36,41,40,30,22,42,48,37,31,44,65,41
45,48,69,26,47,21,46,71,41,59,45,55,57,36,43,37,27,21,44,43,41,36,43,77,35
44,46,64,28,48,21,47,72,41,58,45,54,55,35,38,38,30,21,45,43,43,36,46,77,34
43,43,71,26,46,21,41,81,39,55,48,56,59,33,36,35,27,21,42,42,39,32,51,72,34
